ARRAY_ID	CHEMICAL	DOSE	VEHICLE	ROUTE	DURATION	ORGAN_OR_CELL_TYPE	ANIMAL_ID	SEX	SPECIES	STRAIN	STUDY_TYPE	RNA_ID	TOXICOLOGY_EXPERIMENT_DATE	RNA_EXTRACTION_DATE	cRNA_PREP_DATE	HYB_DATE
93664.CEL	BUSULFAN	500 uM	DMSO .1 %	NONE	1 d	CELL CULTURE	C20050223-16715		Primary Rat Hepatocytes	RHCYT	In Vitro	16715	02/23/2005	11/30/2005	12/06/2005	12/14/2005
93527.CEL	GENTAMICIN	1000 uM	DMSO .1 %	NONE	1 d	CELL CULTURE	C20040505-16757		Primary Rat Hepatocytes	RHCYT	In Vitro	16757	05/05/2004	12/01/2005	12/07/2005	12/15/2005
93714.CEL	BUSULFAN	500 uM	DMSO .1 %	NONE	.67 d	CELL CULTURE	C20050302-16812		Primary Rat Hepatocytes	RHCYT	In Vitro	16812	03/02/2005	12/01/2005	12/08/2005	12/15/2005
93524.CEL	SULINDAC	750 uM	DMSO .1 %	NONE	1 d	CELL CULTURE	C20050301-16754		Primary Rat Hepatocytes	RHCYT	In Vitro	16754	03/01/2005	12/01/2005	12/07/2005	12/15/2005
93719.CEL			DMSO .1 %	NONE	.67 d	CELL CULTURE	C20040519-16817		Primary Rat Hepatocytes	RHCYT	In Vitro	16817	05/19/2004	12/01/2005	12/08/2005	12/15/2005
93609.CEL	LORATADINE	62.25 uM	DMSO .1 %	NONE	.67 d	CELL CULTURE	C20040518-16655		Primary Rat Hepatocytes	RHCYT	In Vitro	16655	05/18/2004	11/29/2005	12/06/2005	12/13/2005
93552.CEL	FLUOXETINE	58 uM	DMSO .1 %	NONE	.67 d	CELL CULTURE	C20040511-16793		Primary Rat Hepatocytes	RHCYT	In Vitro	16793	05/11/2004	12/01/2005	12/07/2005	12/15/2005
96720.CEL			SALINE 100 %	ORAL GAVAGE	.25 d	LIVER	I011106-005	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	99801	11/06/2001	03/07/2006	03/15/2006	03/21/2006
97610.CEL	THIABENDAZOLE	92 mg/kg	CORN OIL 100 %	ORAL GAVAGE	1 d	LIVER	S020122-161	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	50947	01/22/2002	04/11/2006	04/13/2006	04/27/2006
97549.CEL	ISOTRETINOIN	13 mg/kg	CORN OIL 100 %	ORAL GAVAGE	.25 d	LIVER	S011211-074	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	97640	12/11/2001	01/17/2006	01/23/2006	04/27/2006
97006.CEL	ISOEUGENOL	1560 mg/kg	CMC .5 %	ORAL GAVAGE	5 d	KIDNEY	S020909-167	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	50563	09/09/2002	03/29/2006	03/31/2006	04/05/2006
96763.CEL	LOMUSTINE	4.2 mg/kg	CORN OIL 100 %	ORAL GAVAGE	3 d	LIVER	S011204-105	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	99374	12/04/2001	03/10/2006	03/16/2006	03/22/2006
96981.CEL	PAROXETINE	104 mg/kg	WATER 100 %	ORAL GAVAGE	3 d	HEART	S020115-189	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	50454	01/15/2002	03/29/2006	03/31/2006	04/05/2006
